Cost,County,hour,minute,am/pm,Time
35,NY,0,23,A,23
65,NY,0,24,A,24
60,NY,0,24,A,24
65,NY,0,24,A,24
65,NY,0,24,A,24
65,NY,0,24,A,24
95,NY,0,24,A,24
115,NY,0,24,A,24
65,NY,0,24,A,24
95,NY,0,24,A,24
115,NY,0,24,A,24
65,NY,0,24,A,24
65,NY,0,24,A,24
65,NY,0,25,A,25
65,NY,0,25,A,25
115,NY,0,25,A,25
65,NY,0,25,A,25
65,NY,0,25,A,25
95,NY,0,25,A,25
115,NY,0,25,A,25
115,NY,0,25,A,25
115,NY,0,25,A,25
95,NY,0,25,A,25
115,NY,0,25,A,25
115,NY,0,25,A,25
65,NY,0,25,A,25
65,NY,0,25,A,25
115,NY,0,25,A,25
115,NY,0,25,A,25
60,NY,0,25,A,25
65,NY,0,25,A,25
65,NY,0,25,A,25
65,NY,0,26,A,26
65,NY,0,26,A,26
65,NY,0,26,A,26
95,NY,0,26,A,26
65,NY,0,26,A,26
65,NY,0,26,A,26
95,NY,0,26,A,26
115,NY,0,26,A,26
115,NY,0,26,A,26
115,NY,0,26,A,26
115,NY,0,26,A,26
115,NY,0,26,A,26
115,NY,0,26,A,26
60,NY,0,26,A,26
115,NY,0,26,A,26
65,NY,0,26,A,26
65,NY,0,26,A,26
65,NY,0,26,A,26
115,NY,0,27,A,27
65,NY,0,27,A,27
115,NY,0,27,A,27
65,NY,0,27,A,27
65,NY,0,27,A,27
65,NY,0,27,A,27
115,NY,0,27,A,27
115,NY,0,27,A,27
65,NY,0,27,A,27
115,NY,0,27,A,27
65,NY,0,27,A,27
65,NY,0,27,A,27
65,NY,0,27,A,27
115,NY,0,27,A,27
115,NY,0,27,A,27
65,NY,0,27,A,27
115,NY,0,27,A,27
115,NY,0,27,A,27
115,NY,0,27,A,27
115,NY,0,28,A,28
65,NY,0,28,A,28
115,NY,0,28,A,28
65,NY,0,28,A,28
95,NY,0,28,A,28
65,NY,0,28,A,28
65,NY,0,28,A,28
65,NY,0,28,A,28
115,NY,0,28,A,28
65,NY,0,28,A,28
65,NY,0,28,A,28
115,NY,0,28,A,28
115,NY,0,28,A,28
65,NY,0,28,A,28
115,NY,0,28,A,28
115,NY,0,28,A,28
95,NY,0,29,A,29
65,NY,0,29,A,29
65,NY,0,29,A,29
115,NY,0,29,A,29
95,NY,0,29,A,29
115,NY,0,29,A,29
115,NY,0,29,A,29
65,NY,0,29,A,29
65,NY,0,29,A,29
65,NY,0,29,A,29
115,NY,0,29,A,29
115,NY,0,29,A,29
115,NY,0,29,A,29
115,NY,0,29,A,29
115,NY,0,29,A,29
115,NY,0,29,A,29
115,NY,0,29,A,29
115,NY,0,29,A,29
115,NY,0,30,A,30
65,NY,0,30,A,30
65,NY,0,30,A,30
65,NY,0,30,A,30
115,NY,0,30,A,30
115,NY,0,30,A,30
115,NY,0,30,A,30
65,NY,0,30,A,30
65,NY,0,30,A,30
115,NY,0,30,A,30
60,NY,0,30,A,30
115,NY,0,30,A,30
115,NY,0,30,A,30
65,NY,0,30,A,30
165,NY,0,30,A,30
115,NY,0,30,A,30
65,NY,0,30,A,30
65,NY,0,30,A,30
115,NY,0,30,A,30
60,NY,0,31,A,31
115,NY,0,31,A,31
65,NY,0,31,A,31
115,NY,0,31,A,31
115,NY,0,31,A,31
115,NY,0,31,A,31
65,NY,0,31,A,31
65,NY,0,31,A,31
115,NY,0,31,A,31
115,NY,0,31,A,31
65,NY,0,31,A,31
115,NY,0,31,A,31
65,NY,0,31,A,31
115,NY,0,31,A,31
115,NY,0,32,A,32
115,NY,0,32,A,32
115,NY,0,32,A,32
65,NY,0,32,A,32
115,NY,0,32,A,32
115,NY,0,32,A,32
115,NY,0,32,A,32
115,NY,0,32,A,32
115,NY,0,32,A,32
115,NY,0,32,A,32
115,NY,0,32,A,32
65,NY,0,32,A,32
65,NY,0,32,A,32
65,NY,0,32,A,32
65,NY,0,32,A,32
65,NY,0,32,A,32
65,NY,0,32,A,32
115,NY,0,32,A,32
115,NY,0,32,A,32
65,NY,0,33,A,33
65,NY,0,33,A,33
115,NY,0,33,A,33
115,NY,0,33,A,33
65,NY,0,33,A,33
60,NY,0,33,A,33
115,NY,0,33,A,33
65,NY,0,33,A,33
115,NY,0,33,A,33
115,NY,0,33,A,33
65,NY,0,33,A,33
115,NY,0,33,A,33
115,NY,0,33,A,33
115,NY,0,33,A,33
65,NY,0,33,A,33
65,NY,0,34,A,34
115,NY,0,34,A,34
65,NY,0,34,A,34
65,NY,0,34,A,34
65,NY,0,34,A,34
65,NY,0,34,A,34
65,NY,0,34,A,34
115,NY,0,34,A,34
115,NY,0,34,A,34
65,NY,0,34,A,34
65,NY,0,34,A,34
65,NY,0,34,A,34
115,NY,0,34,A,34
60,NY,0,34,A,34
115,NY,0,34,A,34
65,NY,0,34,A,34
65,NY,0,35,A,35
65,NY,0,35,A,35
115,NY,0,35,A,35
115,NY,0,35,A,35
115,NY,0,35,A,35
115,NY,0,35,A,35
65,NY,0,35,A,35
95,NY,0,35,A,35
115,NY,0,35,A,35
115,NY,0,35,A,35
65,NY,0,35,A,35
115,NY,0,36,A,36
115,NY,0,36,A,36
115,NY,0,36,A,36
65,NY,0,36,A,36
65,NY,0,36,A,36
115,NY,0,36,A,36
65,NY,0,36,A,36
65,NY,0,36,A,36
115,NY,0,36,A,36
65,NY,0,36,A,36
65,NY,0,36,A,36
65,NY,0,37,A,37
65,NY,0,37,A,37
65,NY,0,37,A,37
115,NY,0,37,A,37
115,NY,0,37,A,37
115,NY,0,37,A,37
115,NY,0,37,A,37
115,NY,0,37,A,37
115,NY,0,37,A,37
115,NY,0,37,A,37
115,NY,0,37,A,37
115,NY,0,37,A,37
95,NY,0,37,A,37
65,NY,0,38,A,38
115,NY,0,38,A,38
115,NY,0,38,A,38
115,NY,0,38,A,38
65,NY,0,38,A,38
65,NY,0,38,A,38
65,NY,0,38,A,38
65,NY,0,38,A,38
65,NY,0,38,A,38
115,NY,0,38,A,38
115,NY,0,38,A,38
65,NY,0,38,A,38
115,NY,0,38,A,38
65,NY,0,38,A,38
65,NY,0,38,A,38
115,NY,0,38,A,38
115,NY,0,38,A,38
115,NY,0,39,A,39
115,NY,0,39,A,39
65,NY,0,39,A,39
115,NY,0,39,A,39
115,NY,0,39,A,39
65,NY,0,39,A,39
115,NY,0,39,A,39
115,NY,0,39,A,39
115,NY,0,39,A,39
115,NY,0,39,A,39
115,NY,0,39,A,39
65,NY,0,39,A,39
115,NY,0,39,A,39
65,NY,0,40,A,40
65,NY,0,40,A,40
115,NY,0,40,A,40
65,NY,0,40,A,40
115,NY,0,40,A,40
115,NY,0,40,A,40
65,NY,0,40,A,40
115,NY,0,40,A,40
115,NY,0,40,A,40
65,NY,0,40,A,40
65,NY,0,40,A,40
115,NY,0,40,A,40
115,NY,0,40,A,40
115,NY,0,40,A,40
115,NY,0,40,A,40
115,NY,0,40,A,40
165,NY,0,40,A,40
65,NY,0,40,A,40
115,NY,0,40,A,40
115,NY,0,40,A,40
115,NY,0,41,A,41
115,NY,0,41,A,41
65,NY,0,41,A,41
115,NY,0,41,A,41
65,NY,0,41,A,41
115,NY,0,41,A,41
65,NY,0,41,A,41
65,NY,0,41,A,41
65,NY,0,42,A,42
115,NY,0,42,A,42
65,NY,0,42,A,42
115,NY,0,42,A,42
60,NY,0,42,A,42
65,NY,0,42,A,42
115,NY,0,42,A,42
115,NY,0,42,A,42
65,NY,0,42,A,42
65,NY,0,42,A,42
65,NY,0,42,A,42
115,NY,0,42,A,42
115,NY,0,42,A,42
65,NY,0,42,A,42
65,NY,0,42,A,42
65,NY,0,42,A,42
65,NY,0,42,A,42
65,NY,0,42,A,42
65,NY,0,43,A,43
115,NY,0,43,A,43
115,NY,0,43,A,43
115,NY,0,43,A,43
115,NY,0,43,A,43
115,NY,0,43,A,43
115,NY,0,43,A,43
115,NY,0,43,A,43
115,NY,0,43,A,43
115,NY,0,43,A,43
115,NY,0,43,A,43
115,NY,0,43,A,43
60,NY,0,43,A,43
115,NY,0,43,A,43
115,NY,0,44,A,44
115,NY,0,44,A,44
65,NY,0,44,A,44
115,NY,0,44,A,44
115,NY,0,44,A,44
65,NY,0,44,A,44
65,NY,0,44,A,44
115,NY,0,44,A,44
115,NY,0,44,A,44
115,NY,0,44,A,44
115,NY,0,44,A,44
115,NY,0,44,A,44
65,NY,0,44,A,44
115,NY,0,44,A,44
65,NY,0,44,A,44
115,NY,0,45,A,45
115,NY,0,45,A,45
65,NY,0,45,A,45
65,NY,0,45,A,45
115,NY,0,45,A,45
115,NY,0,45,A,45
65,NY,0,45,A,45
115,NY,0,45,A,45
115,NY,0,45,A,45
65,NY,0,45,A,45
65,NY,0,45,A,45
115,NY,0,45,A,45
65,NY,0,45,A,45
115,NY,0,45,A,45
115,NY,0,45,A,45
95,NY,0,46,A,46
115,NY,0,46,A,46
115,NY,0,46,A,46
115,NY,0,46,A,46
115,NY,0,46,A,46
45,NY,0,46,A,46
65,NY,0,46,A,46
115,NY,0,46,A,46
65,NY,0,46,A,46
65,NY,0,46,A,46
65,NY,0,46,A,46
115,NY,0,47,A,47
65,NY,0,47,A,47
65,NY,0,47,A,47
115,NY,0,47,A,47
115,NY,0,47,A,47
65,NY,0,47,A,47
65,NY,0,47,A,47
115,NY,0,47,A,47
115,NY,0,48,A,48
65,NY,0,48,A,48
115,NY,0,48,A,48
115,NY,0,48,A,48
115,NY,0,48,A,48
65,NY,0,48,A,48
115,NY,0,48,A,48
115,NY,0,48,A,48
115,NY,0,48,A,48
115,NY,0,48,A,48
115,NY,0,48,A,48
65,NY,0,48,A,48
65,NY,0,48,A,48
115,NY,0,49,A,49
60,NY,0,49,A,49
115,NY,0,49,A,49
115,NY,0,49,A,49
60,NY,0,49,A,49
65,NY,0,49,A,49
65,NY,0,49,A,49
65,NY,0,49,A,49
60,NY,0,49,A,49
115,NY,0,50,A,50
65,NY,0,50,A,50
115,NY,0,50,A,50
115,NY,0,50,A,50
115,NY,0,50,A,50
65,NY,0,50,A,50
60,NY,0,50,A,50
115,NY,0,50,A,50
65,NY,0,50,A,50
115,NY,0,50,A,50
115,NY,0,50,A,50
65,NY,0,50,A,50
115,NY,0,50,A,50
60,NY,0,50,A,50
65,NY,0,50,A,50
115,NY,0,51,A,51
115,NY,0,51,A,51
65,NY,0,51,A,51
115,NY,0,51,A,51
60,NY,0,51,A,51
115,NY,0,51,A,51
115,NY,0,51,A,51
65,NY,0,51,A,51
115,NY,0,52,A,52
115,NY,0,52,A,52
115,NY,0,52,A,52
95,NY,0,52,A,52
65,NY,0,52,A,52
115,NY,0,52,A,52
115,NY,0,52,A,52
60,NY,0,52,A,52
115,NY,0,52,A,52
115,NY,0,52,A,52
115,NY,0,52,A,52
65,NY,0,52,A,52
65,NY,0,53,A,53
115,NY,0,53,A,53
60,NY,0,53,A,53
60,NY,0,53,A,53
115,NY,0,53,A,53
65,NY,0,53,A,53
65,NY,0,53,A,53
65,NY,0,54,A,54
65,NY,0,54,A,54
65,NY,0,54,A,54
95,NY,0,54,A,54
115,NY,0,54,A,54
115,NY,0,55,A,55
65,NY,0,55,A,55
95,NY,0,55,A,55
115,NY,0,55,A,55
115,NY,0,55,A,55
115,NY,0,55,A,55
115,NY,0,55,A,55
115,NY,0,55,A,55
115,NY,0,55,A,55
115,NY,0,55,A,55
115,NY,0,55,A,55
65,NY,0,55,A,55
115,NY,0,56,A,56
65,NY,0,56,A,56
115,NY,0,56,A,56
115,NY,0,56,A,56
115,NY,0,56,A,56
115,NY,0,56,A,56
115,NY,0,56,A,56
60,NY,0,56,A,56
115,NY,0,56,A,56
115,NY,0,57,A,57
65,NY,0,57,A,57
115,NY,0,57,A,57
115,NY,0,57,A,57
115,NY,0,57,A,57
115,NY,0,57,A,57
115,NY,0,58,A,58
65,NY,0,58,A,58
65,NY,0,58,A,58
115,NY,0,58,A,58
95,NY,0,58,A,58
115,NY,0,58,A,58
65,NY,0,59,A,59
65,NY,0,59,A,59
115,NY,0,59,A,59
115,NY,0,59,A,59
115,NY,0,59,A,59
65,NY,0,59,A,59
115,NY,0,59,A,59
115,NY,1,0,A,60
65,NY,1,0,A,60
115,NY,1,0,A,60
115,NY,1,0,A,60
65,NY,1,0,A,60
65,NY,1,0,A,60
115,NY,1,0,A,60
115,NY,1,0,A,60
115,NY,1,0,A,60
115,NY,1,0,A,60
60,NY,1,0,A,60
95,NY,1,0,A,60
115,NY,1,0,A,60
65,NY,1,0,A,60
165,NY,1,0,A,60
115,NY,1,0,A,60
115,NY,1,0,A,60
65,NY,1,0,A,60
115,NY,1,0,A,60
65,NY,1,0,A,60
115,NY,1,0,A,60
65,NY,1,0,A,60
115,NY,1,0,A,60
115,NY,1,0,A,60
65,NY,1,0,A,60
95,NY,1,0,A,60
65,NY,1,0,A,60
65,NY,1,0,A,60
95,NY,1,0,A,60
115,NY,1,0,A,60
115,NY,1,0,A,60
60,NY,1,0,A,60
60,NY,1,0,A,60
60,NY,1,0,A,60
65,NY,1,0,A,60
65,NY,1,0,A,60
115,NY,1,0,A,60
65,NY,1,0,A,60
65,NY,1,0,A,60
65,NY,1,0,A,60
115,NY,1,0,A,60
65,NY,1,0,A,60
65,NY,1,0,A,60
115,NY,1,0,A,60
95,NY,1,0,A,60
115,NY,1,0,A,60
